p_value ,u_real,mx_real,my_real
0.00948,0,0,0
0.00948,0,0,0
0.00948,0.00024035,0.003524,0.003524
0.00948,0.00024035,0.003524,0.003524
0.00948,0.000305907,0.004518,0.005239
0.00948,0.000305907,0.004518,0.005239
0.00948,0.00045886,0.0065893,0.0065893
0.00948,0.000305907,0.005239,0.004518
0.00948,0.000305907,0.005239,0.004518
0.00948,0.00024035,0.003524,0.003524
0.00948,0.00024035,0.003524,0.003524
0.00948,0,0,0
0.00948,0,0,0
0.02,0,0,0
0.02,0,0,0
0.02,0.0004867,0.008875,0.008875
0.02,0.0004867,0.008875,0.008875
0.02,0.000648933,0.011029, 0.012465
0.02,0.000648933,0.011029, 0.012465
0.02,0.0009734,0.013902,0.013902
0.02,0.000648933, 0.012465,0.011029
0.02,0.000648933, 0.012465,0.011029
0.02,0.0004867,0.008875,0.008875
0.02,0.0004867,0.008875,0.008875
0.02,0,0,0
0.02,0,0,0
0.15,0,0,0
0.15,0,0,0
0.15,0.003650205,0.066567,0.066567
0.15,0.003650205,0.066567,0.066567
0.15,0.00486694,0.077337,0.093492
0.15,0.00486694,0.077337,0.093492
0.15,0.00730041,0.104262 ,0.104262 
0.15,0.00486694,0.093492,0.077337
0.15,0.00486694,0.093492,0.077337
0.15,0.003650205,0.066567,0.066567
0.15,0.003650205,0.066567,0.066567
0.15,0,0,0
0.15,0,0,0
0.45,0,0.000202,0.000202
0.45,0,0.000202,0.000202
0.45,0.0105555,0.1997,0.1997
0.45,0.0105555,0.1997,0.1997
0.45,0.014074,0.264322,0.2966305
0.45,0.014074,0.264322,0.2966305
0.45,0.021111,0.312785,0.312785
0.45,0.014074,0.2966305,0.264322
0.45,0.014074,0.2966305,0.264322
0.45,0.0105555,0.1997,0.1997
0.45,0.0105555,0.1997,0.1997
0.45,0,0.000202,0.000202
0.45,0,0.000202,0.000202
0.5,0,0.000332,0.000332
0.5,0,0.000332,0.000332
0.5,0.01216735,0.22189,0.22189
0.5,0.01216735,0.22189,0.22189
0.5,0.017223133,0.275744,0.3106
0.5,0.017223133,0.275744,0.3106
0.5,0.024334699,0.34754,0.34754
0.5,0.017223133,0.3106,0.275744
0.5,0.017223133,0.3106,0.275744
0.5,0.01216735,0.22189,0.22189
0.5,0.01216735,0.22189,0.22189
0.5,0,0.000332,0.000332
0.5,0,0.000332,0.000332
0.55,0,0.00026,0.00026
0.55,0,0.00026,0.00026
0.55,0.013384,0.283572,0.283572
0.55,0.013384,0.283572,0.283572
0.55,0.017845333,0.303316,0.36255
0.55,0.017845333,0.303316,0.36255
0.55,0.026768,0.382293,0.382293
0.55,0.017845333,0.36255,0.303316
0.55,0.017845333,0.36255,0.303316
0.55,0.013384,0.283572,0.283572
0.55,0.013384,0.283572,0.283572
0.55,0,0.00026,0.00026
0.55,0,0.00026,0.00026
